Experiment_ID,Protein_Name,Representative.UniProt_ID,Protein_description,Mascot_Score,SSM,UPM,SSM_used_for_quantification,Vehicle_control_.n.1.,Vehicle_control_.n.2.,Binding_of_NBF_to_fresh_beads_.n.1.,Binding_of_NBF_to_fresh_beads_.n.2.,Compound_competition.40_µM_,Compound_competition_.13.33_µM,Compound_competition_4.44_µM,Compound_competition_1.48_µM,Compound_competition_0.49_µM,Compound_competition_0.16_µM,Hill,IC50,MS1_intensity,Kdapp,ProteinType
X031298,AHR,P35869,Aryl hydrocarbon receptor,297,13,4,4,1,1.157178,1.262272,1.18853,1.370045,1.204313,1.070402,1.09918,1.067357,0.935807,0,40,6.3974,0,P
X031298,AHSA1,O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,247,8,6,6,1,0.856188,1.19296,1.081867,0.822385,0.986449,0.89292,1.099823,0.93733,0.82591,0,40,7.2688,0,O
X031298,AIFM1,O95831,"Apoptosis-inducing factor 1, mitochondrial",785,24,14,16,1,0.939424,1.172822,1.059853,0.992526,0.930365,0.984129,0.955406,0.906717,0.939507,1,40,7574,0,O
X031298,AIFM2,Q9BRQ8,Apoptosis-inducing factor 2,217,9,4,4,1,1.053121,1.264984,1.147132,1.035993,0.929349,1.061406,0.966492,1.086255,1.008914,1,40,7.5802,0,Q
X031298,AIMP1,Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,423,13,9,9,1,0.985731,1.146586,1.128467,1.054075,1.010059,1.084684,0.973302,0.983273,0.924912,0,40,7.4991,0,Q
X031298,AIMP2,Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,313,12,8,8,1,0.958978,1.169024,1.096829,1.06211,0.942671,1.049685,0.925646,0.937951,0.919259,1,40,7.4283,0,Q
X031298,AIP,O00170,AH receptor-interacting protein,208,8,4,4,1,0.85866,1.118641,1.008031,0.850078,0.830403,0.854243,0.996016,0.899304,0.839574,0.55,40,6.8701,0,O
X031298,AJUBA,Q96IF1,LIM domain-containing protein ajuba,188,6,2,2,1,1.313141,1.3641,1.509625,1.391905,1.438939,1.222358,1.375756,1.305547,1.421601,0,40,6.6083,0,Q
X031298,AKAP1,Q92667,"A-kinase anchor protein 1, mitochondrial",318,11,3,3,1,0.982046,1.280782,1.108344,1.065123,1.05239,1.02193,0.972948,1.105371,1.134915,0,40,6.7931,0,Q
X031298,AKAP10,O43572,"A-kinase anchor protein 10, mitochondrial",186,5,4,4,1,0.944453,1.164826,1.030894,1.0804,0.973382,1.137827,1.109749,1.054189,1.2358,0,40,6.5877,0,O
X031298,AKAP11,Q9UKA4,A-kinase anchor protein 11,161,6,2,2,1,0.96553,0.975842,1.1003,1.083952,1.05004,1.165526,1.186877,1.037876,1.17587,0,40,6.2469,0,Q
X031298,AKAP12,Q02952,A-kinase anchor protein 12,1568,44,28,29,1,0.872336,1.314704,1.189412,0.92953,1.139339,1.026358,1.265993,0.986344,0.801279,0,40,7.5682,0,Q
X031298,AKAP8,O43823,A-kinase anchor protein 8,346,13,9,9,1,1.011764,1.251506,1.154823,1.037568,1.068026,1.042593,1.15375,1.030245,1.048326,0,40,7.4733,0,O
X031298,AKAP8L,Q9ULX6,A-kinase anchor protein 8-like,406,11,6,6,1,0.944125,1.155302,1.04748,1.142096,0.994547,1.071876,0.98804,0.955589,0.973564,0,40,6.9531,0,Q
X031298,AKAP9,Q99996,A-kinase anchor protein 9,639,21,5,5,1,1.151727,1.348159,1.174986,1.212388,1.21093,1.204386,0.968813,1.000294,1.06941,0,40,6219,0,Q
X031298,ALDH18A1,P54886,Delta-1-pyrroline-5-carboxylate synthase,860,26,18,19,1,1.101236,1.189094,1.065786,1.094956,0.985045,1.015995,1.017379,0.965594,1.024946,0,40,8.1247,0,P
X031298,ALDH1A3,P47895,Aldehyde dehydrogenase family 1 member A3,290,10,5,5,1,0.957276,1.22436,1.180922,1.064943,1.053065,1.096483,1.115725,0.991494,0.970505,0,40,7.2575,0,P
X031298,ALDH1B1,P30837,"Aldehyde dehydrogenase X, mitochondrial",635,19,9,9,1,0.945847,1.087041,1.062385,0.952547,0.921428,0.970316,0.914703,0.996468,1.007119,1,40,7.2446,0,P
X031298,ALDH2,P05091,"Aldehyde dehydrogenase, mitochondrial",96,8,2,2,1,0.72069,1.24237,1.161913,0.891063,1.154215,1.074154,1.208214,0.966988,1.006449,1,40,6.3437,0,P
X031298,ALDH3A2,P51648,Fatty aldehyde dehydrogenase,551,12,9,9,1,1.064642,1.252713,1.069829,1.099275,1.023062,1.07275,0.965104,1.068293,1.032059,0,40,7.1923,0,P
X031298,ALDH7A1,P49419,Alpha-aminoadipic semialdehyde dehydrogenase,668,22,9,10,1,0.995302,1.082552,1.018462,1.008976,0.90844,1.030314,0.885838,0.901531,0.915855,1.8,40,8.1697,0,P
X031298,ALDH9A1,P49189,4-trimethylaminobutyraldehyde dehydrogenase,747,35,13,21,1,0.998831,1.003235,1.008672,1.037127,0.903082,1.027672,0.877278,0.893968,0.925808,0,40,8.6842,0,P
X031298,ALG1,Q9BT22,Chitobiosyldiphosphodolichol beta-mannosyltransferase,209,7,6,6,1,1.024625,1.223542,1.152185,1.095601,1.002714,1.074776,1.099552,1.022965,1.147593,1,40,7.3444,0,Q
X031298,ALG5,Q9Y673,Dolichyl-phosphate beta-glucosyltransferase,125,3,3,3,1,1.298887,1.424512,1.088206,0.862456,1.325234,1.171916,1.218202,1.056313,1.139113,0.73,40,6.4211,0,Q
X031298,ANAPC1,Q9H1A4,Anaphase-promoting complex subunit 1,313,11,7,7,1,1.056917,1.188338,1.067418,1.052469,0.959748,1.013484,0.97502,1.013311,1.029032,0,40,7.0072,0,Q
X031298,ANAPC2,Q9UJX6,Anaphase-promoting complex subunit 2,115,6,3,3,1,1.050035,1.116049,1.034482,1.157571,1.084236,1.166995,0.959508,1.126034,1.076591,0,40,6.3751,0,Q
X031298,ANAPC4,Q9UJX5,Anaphase-promoting complex subunit 4,100,5,2,2,1,1.111004,1.629344,0.810593,0.895616,0.911003,0.788275,0.779376,1.157562,0.843778,1,40,6477,0,Q
X031298,ANAPC5,Q9UJX4,Anaphase-promoting complex subunit 5,205,11,6,6,1,0.987703,1.293937,1.058894,0.965295,1.022738,1.055503,1.022619,1.049916,1.043421,1,40,6843,0,Q
X031298,ANAPC7,Q9UJX3,Anaphase-promoting complex subunit 7,188,6,3,3,1,1.118496,1.292653,1.139877,1.144202,1.050022,1.076584,1.091184,1.183483,1.210857,0,40,6.9741,0,Q
X031298,ANKHD1,Q8IWZ3,Ankyrin repeat and KH domain-containing protein 1,207,5,3,3,1,0.945824,1.314369,1.196287,1.141875,1.011451,1.102622,1.055873,0.979108,1.138204,0,40,6.5409,0,Q
X031298,ANKIB1,Q9P2G1,Ankyrin repeat and IBR domain-containing protein 1,138,3,2,2,1,1.035876,1.270305,1.206064,1.066326,1.075066,1.039523,1.036841,1.124636,1.110218,0,40,6.4415,0,Q
X031298,ANKRD50,Q9ULJ7,Ankyrin repeat domain-containing protein 50,134,7,3,3,1,0.92907,1.101332,1.121812,1.072264,1.083365,1.071817,1.068639,1.055546,1.110387,0,40,6.2301,0,Q
X031298,ANXA7,P20073,Annexin A7,126,3,2,2,1,1.060085,1.267922,1.240212,1.018225,1.176646,1.062651,1.320445,1.141798,1.065225,0,40,6.5539,0,P
X031298,AP1B1,Q10567,AP-1 complex subunit beta-1,103,3,2,2,1,0.728145,1.240068,1.166587,0.783288,1.129023,0.94791,1.310069,1.046554,0.988584,1,40,6.3174,0,Q
X031298,AP2B1,P63010,AP-2 complex subunit beta,473,15,5,5,1,0.849479,1.219011,1.039338,0.874141,1.02784,0.924425,1.035613,0.875352,0.883673,0,40,6.8559,0,P
X031298,AP2M1,Q96CW1,AP-2 complex subunit mu,189,8,4,4,1,1.315428,1.614267,1.532264,1.314483,1.443603,1.306709,1.291824,1.367148,1.027948,0,40,6.4328,0,Q
X031298,AP2S1,P53680,AP-2 complex subunit sigma,49,2,2,2,1,0.871381,1.067994,0.908634,0.812834,0.970083,0.934069,0.967277,0.906214,0.931288,1,40,6.7428,0,P
X031298,AP3B1,O00203,AP-3 complex subunit beta-1,216,10,4,4,1,0.876061,1.326986,1.1306,0.894962,1.126478,1.009708,1.225928,0.94381,0.903188,0,40,6.5683,0,O
X031298,AP3S1,Q92572,AP-3 complex subunit sigma-1,159,5,4,4,1,0.926866,1.167318,1.053174,0.926184,0.907363,0.879124,0.907386,0.91483,1.048722,0,40,7.3777,0,Q
X031298,APBB2,Q92870,Amyloid beta A4 precursor protein-binding family B member 2,166,5,3,3,1,1.000608,1.279355,1.378995,1.227794,0.889591,0.889792,1.001591,0.948815,1.056421,1,40,5.9675,0,Q
X031298,APEH,P13798,Acylamino-acid-releasing enzyme,602,23,10,10,1,0.936053,1.15016,1.080159,0.979725,0.976859,0.922653,1.001881,1.000239,0.954117,1,40,7618,0,P
X031298,APLP2,Q06481,Amyloid-like protein 2,150,6,2,3,1,0.905273,1.186666,1.029948,1.063934,0.96646,0.845404,0.960219,0.950145,1.014326,1,40,6806,0,Q
X031298,APP,P05067,Amyloid beta A4 protein,397,12,7,7,1,0.996663,1.156716,1.138241,1.102435,1.0143,1.043799,0.976709,1.011997,1.127819,0,40,7.1904,0,P
X031298,AQR,O60306,Intron-binding protein aquarius,408,18,9,9,1,1.081229,1.218816,1.08139,1.091834,1.031323,1.088805,1.067886,1.01424,1.047514,0,40,6.8057,0,O
X031298,ARCN1,P48444,Coatomer subunit delta,615,14,10,10,1,0.944245,1.149698,1.051814,1.006722,0.922381,0.945497,0.96658,0.959394,0.905547,0,40,7.3901,0,P
X031298,ARF4,P18085,ADP-ribosylation factor 4,216,9,2,2,1,0.846663,0.91807,0.902665,0.953948,0.906747,1.120887,0.913002,0.87097,0.85407,1,40,7.3479,0,P
X031298,ARFGAP1,Q8N6T3,ADP-ribosylation factor GTPase-activating protein 1,181,7,4,4,1,0.941575,1.187141,1.029561,0.812401,0.796444,0.898839,0.836089,0.886246,1.038312,1,40,6.6462,0,Q
X031298,ARFGEF1,Q9Y6D6,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,193,7,3,3,1,1.219306,1.185071,1.288226,1.383447,1.235622,1.00714,0.958334,1.152533,1.049957,0,40,6.2925,0,Q
X031298,ARFGEF2,Q9Y6D5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,567,19,5,5,1,0.993321,1.143456,1.108831,1.134666,0.955497,0.98327,0.912426,0.935468,0.9348,1,40,6.5485,0,Q
X031298,ARHGAP29,Q52LW3,Rho GTPase-activating protein 29,346,11,3,3,1,0.873407,1.228288,1.031989,0.879029,0.890986,0.832729,1.116454,0.938629,0.870438,0,40,6.4652,0,Q
X031298,ARID1A,O14497,AT-rich interactive domain-containing protein 1A,144,9,2,2,1,0.967155,1.125835,1.273334,0.956259,1.036099,1.005063,1.183305,0.938146,1.007529,1,40,6677,0,O
X031298,ARMC6,Q6NXE6,Armadillo repeat-containing protein 6,239,10,5,5,1,0.936463,1.101365,1.037176,1.093352,0.912461,0.920977,0.936206,0.971558,0.996771,1,40,7.1827,0,Q
X031298,ARMC8,Q8IUR7,Armadillo repeat-containing protein 8,63,4,2,2,1,1.05633,1.25763,1.288567,1.075086,0.923971,0.914386,0.886265,0.744794,1.106517,2.06,40,5.9759,0,Q
X031298,ARNTL,O00327,Aryl hydrocarbon receptor nuclear translocator-like protein 1,164,8,4,4,1,1.069297,1.299288,1.213787,1.233119,1.194308,1.226516,1.140058,1.243979,1.276458,0,40,6.7781,0,O
X031298,ARPC4,P59998,Actin-related protein 2/3 complex subunit 4,96,6,3,3,1,0.858271,1.406355,1.261589,0.956812,1.39269,1.178633,1.494567,1.275901,1.032088,0,40,6.6532,0,P
X031298,ASAH1,Q13510,Acid ceramidase,198,7,5,5,1,1.10459,1.005267,1.017655,1.018635,0.971116,1.066175,0.909323,1.009086,1.029466,0,40,7.2342,0,Q
X031298,ASCC2,Q9H1I8,Activating signal cointegrator 1 complex subunit 2,124,3,3,3,1,1.176727,1.15474,1.184475,1.21541,1.078742,1.211187,1.183447,1.032012,1.140266,0,40,6.2624,0,Q
X031298,ASCC3,Q8N3C0,Activating signal cointegrator 1 complex subunit 3,472,20,4,4,1,1.020399,1.142299,1.04712,1.173688,1.116853,1.161164,0.872023,1.074063,1.054525,0,40,6.2513,0,Q
X031298,ASMTL,O95671,N-acetylserotonin O-methyltransferase-like protein,146,6,3,3,1,0.886196,1.231753,1.180497,0.841666,1.048581,0.936539,1.125812,1.010316,0.901465,1,40,6.5676,0,O
X031298,ASNS,P08243,Asparagine synthetase [glutamine-hydrolyzing],402,12,7,7,1,0.815498,1.362267,1.176085,0.822106,1.111788,0.953126,1.313177,0.981309,0.837135,1,40,7.1772,0,P
X031298,ASPH,Q12797,Aspartyl/asparaginyl beta-hydroxylase,328,15,9,9,1,0.913022,1.232265,1.135854,0.963643,1.014731,0.972469,1.130241,1.001205,1.000541,0,40,7.1071,0,Q
X031298,ATAD3A,Q9NVI7,ATPase family AAA domain-containing protein 3A,997,38,7,9,1,1.145383,1.261809,1.235248,1.141616,1.025335,1.208878,1.091682,1.081484,1.054856,0,40,7.6876,0,Q
X031298,ATE1,O95260,Arginyl-tRNA--protein transferase 1,240,9,6,6,1,0.982426,1.140314,1.085493,1.025363,1.041954,1.003706,0.997883,1.001977,1.062377,0.7,40,7.2968,0,O
X031298,ATG9A,Q7Z3C6,Autophagy-related protein 9A,159,5,4,4,1,1.106337,1.370991,1.150089,1.223202,1.147945,1.111386,1.131526,1.080245,1.257616,0,40,6.4912,0,Q
X031298,ATIC,P31939,Bifunctional purine biosynthesis protein PURH,272,9,5,5,1,0.889342,1.393135,1.183408,0.771592,1.178486,0.909773,1.333694,0.996285,0.851442,0,40,6.7255,0,P
X031298,ATL3,Q6DD88,Atlastin-3,139,3,2,2,1,0.977709,1.421268,1.238734,1.06811,1.143858,1.068034,1.399657,1.223076,1.227295,0,40,6.6494,0,Q
X031298,ATP1A1,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,1273,38,23,25,1,0.918096,1.176033,1.050511,0.885663,0.895074,0.897409,0.946471,0.916416,0.903067,1,40,7559,0,P
X031298,ATP1B1,P05026,Sodium/potassium-transporting ATPase subunit beta-1,140,5,3,3,1,1.030089,1.475293,1.193329,0.942168,1.209326,1.074579,1.218885,1.064115,1.021472,1,40,6.4238,0,P
X031298,ATP1B3,P54709,Sodium/potassium-transporting ATPase subunit beta-3,214,10,3,3,1,0.741146,1.195409,1.047367,0.737012,0.862257,0.882732,1.012523,0.871262,0.792371,1,40,6.5133,0,P
X031298,ATP23,Q9Y6H3,Mitochondrial inner membrane protease ATP23 homolog,74,3,2,2,1,0.968532,0.944158,0.899908,0.911862,0.803516,0.961967,0.907823,1.02055,0.966826,1,40,6.1973,0,Q
X031298,ATP2A2,P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,1112,42,19,21,1,0.983836,1.170643,1.050065,0.999928,0.88257,0.965572,0.92382,0.902051,0.961696,1,40,8.0824,0,P
X031298,ATP5A1,P25705,"ATP synthase subunit alpha, mitochondrial",1092,34,20,24,1,0.910168,1.205631,1.067309,0.947899,0.922005,0.995993,1.045552,0.918282,0.873461,0,40,8.3489,0,P
X031298,ATP5B,P06576,"ATP synthase subunit beta, mitochondrial",737,22,11,15,1,0.912408,1.210743,1.095336,0.926573,0.995828,1.018112,1.115344,1.02542,0.973002,1,40,8.0365,0,P
X031298,ATP5C1,P36542,"ATP synthase subunit gamma, mitochondrial",206,11,3,4,1,0.985811,1.220225,1.158468,1.032775,1.03086,1.035416,1.058256,1.018544,1.005704,0,40,7.1594,0,P
X031298,ATP5F1,P24539,"ATP synthase F(0) complex subunit B1, mitochondrial",170,5,4,4,1,1.03725,1.149609,1.111904,0.880118,0.90485,1.000265,1.04968,0.997054,0.827714,0,40,7.4435,0,P
X031298,ATP5H,O75947,"ATP synthase subunit d, mitochondrial",282,11,6,6,1,0.797796,0.932941,0.827813,0.842053,0.730555,0.82161,0.77452,0.773872,0.7875,1,40,7.4221,0,O
X031298,ATP5I,P56385,"ATP synthase subunit e, mitochondrial",193,6,4,4,1,0.882285,1.265274,1.067183,0.925933,0.964846,0.952918,0.991478,0.902018,0.937306,1.91,40,7.1532,0,P
X031298,ATP5J,P18859,"ATP synthase-coupling factor 6, mitochondrial",130,4,4,4,1,0.794934,1.053643,0.951684,0.775781,0.856231,0.908805,0.881206,0.799994,0.898752,1,40,6.8731,0,P
X031298,ATP5L,O75964,"ATP synthase subunit g, mitochondrial",98,2,2,2,1,0.967728,1.369372,1.075899,0.894085,1.052334,0.989655,1.108009,0.993403,0.942997,1,40,6.9304,0,O
